[2026-04-01T13:24:56.478Z] GET http://localhost:8787/index.html → 200 (10ms, 34719B)
[2026-04-01T13:24:56.496Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700;900&family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500;700&display=swap → 200 (168ms, 20915B)
[2026-04-01T13:24:56.765Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (196ms, 48432B)
[2026-04-01T13:24:56.765Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (211ms, 38460B)
[2026-04-01T13:24:56.765Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (219ms, 31340B)
[2026-04-01T13:28:09.778Z] GET http://localhost:8787/index.html → pending (?ms, ?B)
[2026-04-01T13:28:16.297Z] GET http://localhost:8787/index.html → 200 (3ms, 34719B)
[2026-04-01T13:28:16.346Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700;900&family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500;700&display=swap → 200 (1ms, 20915B)
[2026-04-01T13:28:16.351Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (31ms, 48432B)
[2026-04-01T13:28:16.351Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (31ms, 38460B)
[2026-04-01T13:28:16.351Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (31ms, 31340B)
[2026-04-01T13:28:29.128Z] GET http://localhost:8788/og-image.html → 200 (2ms, 4306B)
[2026-04-01T13:28:29.133Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@900&family=Inter:wght@400;600;700&display=swap → 200 (33ms, 9263B)
[2026-04-01T13:28:29.167Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
[2026-04-01T13:28:29.167Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKfsunDXbtPK-F2qC0s.woff2 → 200 (36ms, 22476B)
[2026-04-01T13:28:43.822Z] GET http://localhost:8788/og-image.html → 200 (7ms, 4306B)
[2026-04-01T13:28:43.845Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@900&family=Inter:wght@400;600;700&display=swap → 200 (?ms, 9263B)
[2026-04-01T13:28:43.846Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-04-01T13:28:43.847Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKfsunDXbtPK-F2qC0s.woff2 → 200 (?ms, ?B)
[2026-04-01T13:28:47.577Z] GET http://localhost:8787/index.html → 200 (2ms, 34902B)
[2026-04-01T13:28:47.581Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700;900&family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500;700&display=swap → 200 (?ms, 20915B)
[2026-04-01T13:28:47.583Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T13:28:47.583Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-01T13:28:47.583Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
